subject,section,passage_text,question_text,option_a,option_b,option_c,option_d,correct_option
"اللغة الإنجليزية","القطع الخارجية (Reading)","The Iraqi Marshlands are considered to be the largest wetland ecosystem in the Middle East, and they played an essential role in global ecosystems by supporting rare wildlife and rich biodiversity. They provide a shifting temporal and spatial mosaic of habitats for flora and fauna. The presence of water is significant in any ecosystem, where the ecosystem depends on the quantity and quality of water. The low water quantity has a significant impact on the ecosystem and the food chain of living organisms, although water has the ability to self-cleansing contaminants, this may causin a loss of biodiversity and a lack of natural food sources (such as fish). The area of the Iraqi Marshlands, formerly known as the Garden of Eden, covers around 20,000 km2 and is located in the lower part of the Mesopotamia. The Iraqi government dried up the marshes during the 1990s, and in 2000 less than 10 %of the original marshes area remained. After 2003, The Iraqi government with the help of international organizations implemented a plan to save the marshes, the Iraqi marshes began to recover despite the enormous difficulties they faced. It is believed that %75 of the original marshes can be recovered The local Arab communities there live in a houses built from reeds called Mudhifs, and their mainly sustain their lives by fishing, agriculture.","Where does the marshland locate?","upper part of Mesopotamia","lower part of Mesopotamia","In north of Iraq.","in the middle of Baghdad.","lower part of Mesopotamia"
"اللغة الإنجليزية","القطع الخارجية (Reading)","The Iraqi Marshlands are considered to be the largest wetland ecosystem in the Middle East, and they played an essential role in global ecosystems by supporting rare wildlife and rich biodiversity. They provide a shifting temporal and spatial mosaic of habitats for flora and fauna. The presence of water is significant in any ecosystem, where the ecosystem depends on the quantity and quality of water. The low water quantity has a significant impact on the ecosystem and the food chain of living organisms, although water has the ability to self-cleansing contaminants, this may causin a loss of biodiversity and a lack of natural food sources (such as fish). The area of the Iraqi Marshlands, formerly known as the Garden of Eden, covers around 20,000 km2 and is located in the lower part of the Mesopotamia. The Iraqi government dried up the marshes during the 1990s, and in 2000 less than 10 %of the original marshes area remained. After 2003, The Iraqi government with the help of international organizations implemented a plan to save the marshes, the Iraqi marshes began to recover despite the enormous difficulties they faced. It is believed that %75 of the original marshes can be recovered The local Arab communities there live in a houses built from reeds called Mudhifs, and their mainly sustain their lives by fishing, agriculture.","the pronoun 'they' in line 12 refer to","Iraqi marshes","The Iraqi government and the international organization","The difficulties","The Arab communities.","Iraqi marshes"
"اللغة الإنجليزية","القطع الخارجية (Reading)","The Taj Mahal is a famous mausoleum located next to the river Yamuna in theIndian city of Agra. Amausoleum is a building where people bury the dead. The name Taj Mahal means 'the crown of palaces'. The most famous part of the Taj Mahal is the large white dome in the centre. It is 35 metres high and is surrounded by four smaller domes. The rooms inside the building are decorated with beautiful archways and precious stones in the walls.The buildings are surrounded by gardens with pathways, pools, fountains and green gardens. The construction of the Taj Mahal began in 1632 and finished in 1653. It was built with materials from all over India and Asia, but the main material is white marble.Historians believe that the materials were transported by over 1,000 elephants for the construction. The emperor Shah Jahan built the Taj Mahal as a burial place for his wife, Mumtaz Mahal. Accordin to legend, he wanted to build another Taj Mahal in black on the other side of the river, but this never happened. During the Indian Rebellion of1857, many parts of the Taj Mahal were damaged by British soldiers, who took some of the precious stones from its walls. Over the years, the Taj Mahal has suffered from environmental damage, and there have been many government attempts to conserve its beauty.The Taj Mahal is one of India's most famous landmarks. There are millions of visitors to the mausoleum every year. The Taj Mahal is almost always included in lists of famous buildings to visit and is considered one of the New Seven Wonders of the World. It is also a UNESCO World Heritage Site.","What is the most famous part of Taj Mahal surrounded by?","A large white dome","center","four smaller domes","By gardens","four smaller domes"
"اللغة الإنجليزية","القطع الخارجية (Reading)","The Taj Mahal is a famous mausoleum located next to the river Yamuna in theIndian city of Agra. Amausoleum is a building where people bury the dead. The name Taj Mahal means 'the crown of palaces'. The most famous part of the Taj Mahal is the large white dome in the centre. It is 35 metres high and is surrounded by four smaller domes. The rooms inside the building are decorated with beautiful archways and precious stones in the walls.The buildings are surrounded by gardens with pathways, pools, fountains and green gardens. The construction of the Taj Mahal began in 1632 and finished in 1653. It was built with materials from all over India and Asia, but the main material is white marble.Historians believe that the materials were transported by over 1,000 elephants for the construction. The emperor Shah Jahan built the Taj Mahal as a burial place for his wife, Mumtaz Mahal. Accordin to legend, he wanted to build another Taj Mahal in black on the other side of the river, but this never happened. During the Indian Rebellion of1857, many parts of the Taj Mahal were damaged by British soldiers, who took some of the precious stones from its walls. Over the years, the Taj Mahal has suffered from environmental damage, and there have been many government attempts to conserve its beauty.The Taj Mahal is one of India's most famous landmarks. There are millions of visitors to the mausoleum every year. The Taj Mahal is almost always included in lists of famous buildings to visit and is considered one of the New Seven Wonders of the World. It is also a UNESCO World Heritage Site.","What happened in 1632?","people from India and Asia come to visit Taj Mahal","construction of Taj Mahal began","construction of Taj Mahal finished","The main material is white marble","construction of Taj Mahal began"
"اللغة الإنجليزية","القطع الخارجية (Reading)","The Taj Mahal is a famous mausoleum located next to the river Yamuna in theIndian city of Agra. Amausoleum is a building where people bury the dead. The name Taj Mahal means 'the crown of palaces'. The most famous part of the Taj Mahal is the large white dome in the centre. It is 35 metres high and is surrounded by four smaller domes. The rooms inside the building are decorated with beautiful archways and precious stones in the walls.The buildings are surrounded by gardens with pathways, pools, fountains and green gardens. The construction of the Taj Mahal began in 1632 and finished in 1653. It was built with materials from all over India and Asia, but the main material is white marble.Historians believe that the materials were transported by over 1,000 elephants for the construction. The emperor Shah Jahan built the Taj Mahal as a burial place for his wife, Mumtaz Mahal. Accordin to legend, he wanted to build another Taj Mahal in black on the other side of the river, but this never happened. During the Indian Rebellion of1857, many parts of the Taj Mahal were damaged by British soldiers, who took some of the precious stones from its walls. Over the years, the Taj Mahal has suffered from environmental damage, and there have been many government attempts to conserve its beauty.The Taj Mahal is one of India's most famous landmarks. There are millions of visitors to the mausoleum every year. The Taj Mahal is almost always included in lists of famous buildings to visit and is considered one of the New Seven Wonders of the World. It is also a UNESCO World Heritage Site.","How did the British soldiers damage Taj Mahal?","They took it to the other side of the river","They burnt it","They destroyed it with Shuffles","They took some precious stones","They took some precious stones"
"اللغة الإنجليزية","القطع الخارجية (Reading)","The Taj Mahal is a famous mausoleum located next to the river Yamuna in theIndian city of Agra. Amausoleum is a building where people bury the dead. The name Taj Mahal means 'the crown of palaces'. The most famous part of the Taj Mahal is the large white dome in the centre. It is 35 metres high and is surrounded by four smaller domes. The rooms inside the building are decorated with beautiful archways and precious stones in the walls.The buildings are surrounded by gardens with pathways, pools, fountains and green gardens. The construction of the Taj Mahal began in 1632 and finished in 1653. It was built with materials from all over India and Asia, but the main material is white marble.Historians believe that the materials were transported by over 1,000 elephants for the construction. The emperor Shah Jahan built the Taj Mahal as a burial place for his wife, Mumtaz Mahal. Accordin to legend, he wanted to build another Taj Mahal in black on the other side of the river, but this never happened. During the Indian Rebellion of1857, many parts of the Taj Mahal were damaged by British soldiers, who took some of the precious stones from its walls. Over the years, the Taj Mahal has suffered from environmental damage, and there have been many government attempts to conserve its beauty.The Taj Mahal is one of India's most famous landmarks. There are millions of visitors to the mausoleum every year. The Taj Mahal is almost always included in lists of famous buildings to visit and is considered one of the New Seven Wonders of the World. It is also a UNESCO World Heritage Site.","How many elephants they were used to transport materials to Taj Mahal?","exactly 1,000","over 1,000","less than 1,000","2,000","over 1,000"
"اللغة الإنجليزية","القطع الخارجية (Reading)","The Taj Mahal is a famous mausoleum located next to the river Yamuna in theIndian city of Agra. Amausoleum is a building where people bury the dead. The name Taj Mahal means 'the crown of palaces'. The most famous part of the Taj Mahal is the large white dome in the centre. It is 35 metres high and is surrounded by four smaller domes. The rooms inside the building are decorated with beautiful archways and precious stones in the walls.The buildings are surrounded by gardens with pathways, pools, fountains and green gardens. The construction of the Taj Mahal began in 1632 and finished in 1653. It was built with materials from all over India and Asia, but the main material is white marble.Historians believe that the materials were transported by over 1,000 elephants for the construction. The emperor Shah Jahan built the Taj Mahal as a burial place for his wife, Mumtaz Mahal. Accordin to legend, he wanted to build another Taj Mahal in black on the other side of the river, but this never happened. During the Indian Rebellion of1857, many parts of the Taj Mahal were damaged by British soldiers, who took some of the precious stones from its walls. Over the years, the Taj Mahal has suffered from environmental damage, and there have been many government attempts to conserve its beauty.The Taj Mahal is one of India's most famous landmarks. There are millions of visitors to the mausoleum every year. The Taj Mahal is almost always included in lists of famous buildings to visit and is considered one of the New Seven Wonders of the World. It is also a UNESCO World Heritage Site.","Where does Taj Mahal locate?","next to river Yamuna in India","In India","In the river","Next to a river Dijla","next to river Yamuna in India"
"اللغة الإنجليزية","القطع الخارجية (Reading)","The Taj Mahal is a famous mausoleum located next to the river Yamuna in theIndian city of Agra. Amausoleum is a building where people bury the dead. The name Taj Mahal means 'the crown of palaces'. The most famous part of the Taj Mahal is the large white dome in the centre. It is 35 metres high and is surrounded by four smaller domes. The rooms inside the building are decorated with beautiful archways and precious stones in the walls.The buildings are surrounded by gardens with pathways, pools, fountains and green gardens. The construction of the Taj Mahal began in 1632 and finished in 1653. It was built with materials from all over India and Asia, but the main material is white marble.Historians believe that the materials were transported by over 1,000 elephants for the construction. The emperor Shah Jahan built the Taj Mahal as a burial place for his wife, Mumtaz Mahal. Accordin to legend, he wanted to build another Taj Mahal in black on the other side of the river, but this never happened. During the Indian Rebellion of1857, many parts of the Taj Mahal were damaged by British soldiers, who took some of the precious stones from its walls. Over the years, the Taj Mahal has suffered from environmental damage, and there have been many government attempts to conserve its beauty.The Taj Mahal is one of India's most famous landmarks. There are millions of visitors to the mausoleum every year. The Taj Mahal is almost always included in lists of famous buildings to visit and is considered one of the New Seven Wonders of the World. It is also a UNESCO World Heritage Site.","How high is the white dome?","It is 40 meters high","It's 1,000 meters high","It's 35 meters high","it's in 1653","It's 35 meters high"
"اللغة الإنجليزية","القطع الخارجية (Reading)","The Taj Mahal is a famous mausoleum located next to the river Yamuna in theIndian city of Agra. Amausoleum is a building where people bury the dead. The name Taj Mahal means 'the crown of palaces'. The most famous part of the Taj Mahal is the large white dome in the centre. It is 35 metres high and is surrounded by four smaller domes. The rooms inside the building are decorated with beautiful archways and precious stones in the walls.The buildings are surrounded by gardens with pathways, pools, fountains and green gardens. The construction of the Taj Mahal began in 1632 and finished in 1653. It was built with materials from all over India and Asia, but the main material is white marble.Historians believe that the materials were transported by over 1,000 elephants for the construction. The emperor Shah Jahan built the Taj Mahal as a burial place for his wife, Mumtaz Mahal. Accordin to legend, he wanted to build another Taj Mahal in black on the other side of the river, but this never happened. During the Indian Rebellion of1857, many parts of the Taj Mahal were damaged by British soldiers, who took some of the precious stones from its walls. Over the years, the Taj Mahal has suffered from environmental damage, and there have been many government attempts to conserve its beauty.The Taj Mahal is one of India's most famous landmarks. There are millions of visitors to the mausoleum every year. The Taj Mahal is almost always included in lists of famous buildings to visit and is considered one of the New Seven Wonders of the World. It is also a UNESCO World Heritage Site.","What does the government attempt to do?","To steal Taj Mahal","To build a new Taj Mahal","To take precious stones","To keep it's beauty","To keep it's beauty"
"اللغة الإنجليزية","القطع الخارجية (Reading)","The Taj Mahal is a famous mausoleum located next to the river Yamuna in theIndian city of Agra. Amausoleum is a building where people bury the dead. The name Taj Mahal means 'the crown of palaces'. The most famous part of the Taj Mahal is the large white dome in the centre. It is 35 metres high and is surrounded by four smaller domes. The rooms inside the building are decorated with beautiful archways and precious stones in the walls.The buildings are surrounded by gardens with pathways, pools, fountains and green gardens. The construction of the Taj Mahal began in 1632 and finished in 1653. It was built with materials from all over India and Asia, but the main material is white marble.Historians believe that the materials were transported by over 1,000 elephants for the construction. The emperor Shah Jahan built the Taj Mahal as a burial place for his wife, Mumtaz Mahal. Accordin to legend, he wanted to build another Taj Mahal in black on the other side of the river, but this never happened. During the Indian Rebellion of1857, many parts of the Taj Mahal were damaged by British soldiers, who took some of the precious stones from its walls. Over the years, the Taj Mahal has suffered from environmental damage, and there have been many government attempts to conserve its beauty.The Taj Mahal is one of India's most famous landmarks. There are millions of visitors to the mausoleum every year. The Taj Mahal is almost always included in lists of famous buildings to visit and is considered one of the New Seven Wonders of the World. It is also a UNESCO World Heritage Site.","Which of the following is not mentioned in the passage?","The emperor Shah Jahan built Taj Mahal","Taj Mahal is very famous landmark in India","Turkish people wanted to build a similar place","Taj Mahal built with Marbles","Turkish people wanted to build a similar place"
"اللغة الإنجليزية","القطع الخارجية (Reading)","The Taj Mahal is a famous mausoleum located next to the river Yamuna in theIndian city of Agra. Amausoleum is a building where people bury the dead. The name Taj Mahal means 'the crown of palaces'. The most famous part of the Taj Mahal is the large white dome in the centre. It is 35 metres high and is surrounded by four smaller domes. The rooms inside the building are decorated with beautiful archways and precious stones in the walls.The buildings are surrounded by gardens with pathways, pools, fountains and green gardens. The construction of the Taj Mahal began in 1632 and finished in 1653. It was built with materials from all over India and Asia, but the main material is white marble.Historians believe that the materials were transported by over 1,000 elephants for the construction. The emperor Shah Jahan built the Taj Mahal as a burial place for his wife, Mumtaz Mahal. Accordin to legend, he wanted to build another Taj Mahal in black on the other side of the river, but this never happened. During the Indian Rebellion of1857, many parts of the Taj Mahal were damaged by British soldiers, who took some of the precious stones from its walls. Over the years, the Taj Mahal has suffered from environmental damage, and there have been many government attempts to conserve its beauty.The Taj Mahal is one of India's most famous landmarks. There are millions of visitors to the mausoleum every year. The Taj Mahal is almost always included in lists of famous buildings to visit and is considered one of the New Seven Wonders of the World. It is also a UNESCO World Heritage Site.","The pronoun 'He' in the line 12 is refers to","Mumtaz Mahal","The emperor","legend","A burial place","The emperor"
"اللغة الإنجليزية","القطع الخارجية (Reading)","The Taj Mahal is a famous mausoleum located next to the river Yamuna in theIndian city of Agra. Amausoleum is a building where people bury the dead. The name Taj Mahal means 'the crown of palaces'. The most famous part of the Taj Mahal is the large white dome in the centre. It is 35 metres high and is surrounded by four smaller domes. The rooms inside the building are decorated with beautiful archways and precious stones in the walls.The buildings are surrounded by gardens with pathways, pools, fountains and green gardens. The construction of the Taj Mahal began in 1632 and finished in 1653. It was built with materials from all over India and Asia, but the main material is white marble.Historians believe that the materials were transported by over 1,000 elephants for the construction. The emperor Shah Jahan built the Taj Mahal as a burial place for his wife, Mumtaz Mahal. Accordin to legend, he wanted to build another Taj Mahal in black on the other side of the river, but this never happened. During the Indian Rebellion of1857, many parts of the Taj Mahal were damaged by British soldiers, who took some of the precious stones from its walls. Over the years, the Taj Mahal has suffered from environmental damage, and there have been many government attempts to conserve its beauty.The Taj Mahal is one of India's most famous landmarks. There are millions of visitors to the mausoleum every year. The Taj Mahal is almost always included in lists of famous buildings to visit and is considered one of the New Seven Wonders of the World. It is also a UNESCO World Heritage Site.","There are.........................of visitors to the mausoleum every year.","people","friends","millions","thousands","millions"
"اللغة الإنجليزية","القطع الخارجية (Reading)","In a small village, there lived a young girl named Sali. Sali was known throughout the village for her kindness and generosity. She would often spend he days helping the elderly, playing with the children, and tending to the animals in need. One sunny morning, as Sali was walking through the village square , she stumbled upon a wounded bird lying on the ground. Without hesitation, Sali gently picked up the bird and cradled it in her hand. She knew she had to help the little creature, so she brought it back to her humble cottage and tended to its injuries with care and compassion. Days turned into weeks, and the bird slowly began to heal under Sali's watchful eye. It chriped happily as Sali fed it, sang to it, and kept it warm. The villagers marveled at Sali's dedication and love for the bird, and soon word spread far and wide about the kind-hearted girl who had saved a life. As the bird grew stronger, Sali knew it was time to set it free. With a heavy heart, she carried the bird to the edge of the forecast and gently released it into the sky. The bird soared high above the treetops, it wings outstretched in freedom and gratitude. From that day on, Sali became known as the village's guardian angel, a symbol of love and compassion for all living beings. Her selfess act had touched the hearts of many and inspired others to follow in her footsteps, spreading kindness and goodwill wherever they went.","What did Sali symbolize in the village?","hatred","Love and compassion","Greed","Selfisness","Love and compassion"
"اللغة الإنجليزية","القطع الخارجية (Reading)","In a small village, there lived a young girl named Sali. Sali was known throughout the village for her kindness and generosity. She would often spend he days helping the elderly, playing with the children, and tending to the animals in need. One sunny morning, as Sali was walking through the village square , she stumbled upon a wounded bird lying on the ground. Without hesitation, Sali gently picked up the bird and cradled it in her hand. She knew she had to help the little creature, so she brought it back to her humble cottage and tended to its injuries with care and compassion. Days turned into weeks, and the bird slowly began to heal under Sali's watchful eye. It chriped happily as Sali fed it, sang to it, and kept it warm. The villagers marveled at Sali's dedication and love for the bird, and soon word spread far and wide about the kind-hearted girl who had saved a life. As the bird grew stronger, Sali knew it was time to set it free. With a heavy heart, she carried the bird to the edge of the forecast and gently released it into the sky. The bird soared high above the treetops, it wings outstretched in freedom and gratitude. From that day on, Sali became known as the village's guardian angel, a symbol of love and compassion for all living beings. Her selfess act had touched the hearts of many and inspired others to follow in her footsteps, spreading kindness and goodwill wherever they went.","what was Sali firstly known as?","kind and generous","Wild","rude","brave.","kind and generous"
"اللغة الإنجليزية","القطع الخارجية (Reading)","In a small village, there lived a young girl named Sali. Sali was known throughout the village for her kindness and generosity. She would often spend he days helping the elderly, playing with the children, and tending to the animals in need. One sunny morning, as Sali was walking through the village square , she stumbled upon a wounded bird lying on the ground. Without hesitation, Sali gently picked up the bird and cradled it in her hand. She knew she had to help the little creature, so she brought it back to her humble cottage and tended to its injuries with care and compassion. Days turned into weeks, and the bird slowly began to heal under Sali's watchful eye. It chriped happily as Sali fed it, sang to it, and kept it warm. The villagers marveled at Sali's dedication and love for the bird, and soon word spread far and wide about the kind-hearted girl who had saved a life. As the bird grew stronger, Sali knew it was time to set it free. With a heavy heart, she carried the bird to the edge of the forecast and gently released it into the sky. The bird soared high above the treetops, it wings outstretched in freedom and gratitude. From that day on, Sali became known as the village's guardian angel, a symbol of love and compassion for all living beings. Her selfess act had touched the hearts of many and inspired others to follow in her footsteps, spreading kindness and goodwill wherever they went.","The wounded bird that Sali found was:","featherless","flying high","lying on ground","shivering","lying on ground"
"اللغة الإنجليزية","القطع الخارجية (Reading)","In a small village, there lived a young girl named Sali. Sali was known throughout the village for her kindness and generosity. She would often spend he days helping the elderly, playing with the children, and tending to the animals in need. One sunny morning, as Sali was walking through the village square , she stumbled upon a wounded bird lying on the ground. Without hesitation, Sali gently picked up the bird and cradled it in her hand. She knew she had to help the little creature, so she brought it back to her humble cottage and tended to its injuries with care and compassion. Days turned into weeks, and the bird slowly began to heal under Sali's watchful eye. It chriped happily as Sali fed it, sang to it, and kept it warm. The villagers marveled at Sali's dedication and love for the bird, and soon word spread far and wide about the kind-hearted girl who had saved a life. As the bird grew stronger, Sali knew it was time to set it free. With a heavy heart, she carried the bird to the edge of the forecast and gently released it into the sky. The bird soared high above the treetops, it wings outstretched in freedom and gratitude. From that day on, Sali became known as the village's guardian angel, a symbol of love and compassion for all living beings. Her selfess act had touched the hearts of many and inspired others to follow in her footsteps, spreading kindness and goodwill wherever they went.","The best meaning for the word 'Cradle' is:","treat carefully","set it free","Giving food","keeping in cage.","treat carefully"
"اللغة الإنجليزية","القطع الخارجية (Reading)","In a small village, there lived a young girl named Sali. Sali was known throughout the village for her kindness and generosity. She would often spend he days helping the elderly, playing with the children, and tending to the animals in need. One sunny morning, as Sali was walking through the village square , she stumbled upon a wounded bird lying on the ground. Without hesitation, Sali gently picked up the bird and cradled it in her hand. She knew she had to help the little creature, so she brought it back to her humble cottage and tended to its injuries with care and compassion. Days turned into weeks, and the bird slowly began to heal under Sali's watchful eye. It chriped happily as Sali fed it, sang to it, and kept it warm. The villagers marveled at Sali's dedication and love for the bird, and soon word spread far and wide about the kind-hearted girl who had saved a life. As the bird grew stronger, Sali knew it was time to set it free. With a heavy heart, she carried the bird to the edge of the forecast and gently released it into the sky. The bird soared high above the treetops, it wings outstretched in freedom and gratitude. From that day on, Sali became known as the village's guardian angel, a symbol of love and compassion for all living beings. Her selfess act had touched the hearts of many and inspired others to follow in her footsteps, spreading kindness and goodwill wherever they went.","After some weeks, what happened to the bird under Salis watchful eyes","The brid died","The condition got worse","The bird began to heal","The bird got broken leg.","The bird began to heal"
"اللغة الإنجليزية","القطع الخارجية (Reading)","In a small village, there lived a young girl named Sali. Sali was known throughout the village for her kindness and generosity. She would often spend he days helping the elderly, playing with the children, and tending to the animals in need. One sunny morning, as Sali was walking through the village square , she stumbled upon a wounded bird lying on the ground. Without hesitation, Sali gently picked up the bird and cradled it in her hand. She knew she had to help the little creature, so she brought it back to her humble cottage and tended to its injuries with care and compassion. Days turned into weeks, and the bird slowly began to heal under Sali's watchful eye. It chriped happily as Sali fed it, sang to it, and kept it warm. The villagers marveled at Sali's dedication and love for the bird, and soon word spread far and wide about the kind-hearted girl who had saved a life. As the bird grew stronger, Sali knew it was time to set it free. With a heavy heart, she carried the bird to the edge of the forecast and gently released it into the sky. The bird soared high above the treetops, it wings outstretched in freedom and gratitude. From that day on, Sali became known as the village's guardian angel, a symbol of love and compassion for all living beings. Her selfess act had touched the hearts of many and inspired others to follow in her footsteps, spreading kindness and goodwill wherever they went.","What did the villagers notice about Sali?","Sali was lazy","Sali was dedicated","Sali was active","Sali was wonded","Sali was dedicated"
"اللغة الإنجليزية","القطع الخارجية (Reading)","In a small village, there lived a young girl named Sali. Sali was known throughout the village for her kindness and generosity. She would often spend he days helping the elderly, playing with the children, and tending to the animals in need. One sunny morning, as Sali was walking through the village square , she stumbled upon a wounded bird lying on the ground. Without hesitation, Sali gently picked up the bird and cradled it in her hand. She knew she had to help the little creature, so she brought it back to her humble cottage and tended to its injuries with care and compassion. Days turned into weeks, and the bird slowly began to heal under Sali's watchful eye. It chriped happily as Sali fed it, sang to it, and kept it warm. The villagers marveled at Sali's dedication and love for the bird, and soon word spread far and wide about the kind-hearted girl who had saved a life. As the bird grew stronger, Sali knew it was time to set it free. With a heavy heart, she carried the bird to the edge of the forecast and gently released it into the sky. The bird soared high above the treetops, it wings outstretched in freedom and gratitude. From that day on, Sali became known as the village's guardian angel, a symbol of love and compassion for all living beings. Her selfess act had touched the hearts of many and inspired others to follow in her footsteps, spreading kindness and goodwill wherever they went.","Where did Sali release the bird?","into the sky","On the gound","In the desert","In the garden","into the sky"
"اللغة الإنجليزية","القطع الخارجية (Reading)","In a small village, there lived a young girl named Sali. Sali was known throughout the village for her kindness and generosity. She would often spend he days helping the elderly, playing with the children, and tending to the animals in need. One sunny morning, as Sali was walking through the village square , she stumbled upon a wounded bird lying on the ground. Without hesitation, Sali gently picked up the bird and cradled it in her hand. She knew she had to help the little creature, so she brought it back to her humble cottage and tended to its injuries with care and compassion. Days turned into weeks, and the bird slowly began to heal under Sali's watchful eye. It chriped happily as Sali fed it, sang to it, and kept it warm. The villagers marveled at Sali's dedication and love for the bird, and soon word spread far and wide about the kind-hearted girl who had saved a life. As the bird grew stronger, Sali knew it was time to set it free. With a heavy heart, she carried the bird to the edge of the forecast and gently released it into the sky. The bird soared high above the treetops, it wings outstretched in freedom and gratitude. From that day on, Sali became known as the village's guardian angel, a symbol of love and compassion for all living beings. Her selfess act had touched the hearts of many and inspired others to follow in her footsteps, spreading kindness and goodwill wherever they went.","As the bird grew stronger means:","The bird became faster","The bird became taller","The bird became more powerful","The bird became nicer","The bird became more powerful"
"اللغة الإنجليزية","القطع الخارجية (Reading)","In a small village, there lived a young girl named Sali. Sali was known throughout the village for her kindness and generosity. She would often spend he days helping the elderly, playing with the children, and tending to the animals in need. One sunny morning, as Sali was walking through the village square , she stumbled upon a wounded bird lying on the ground. Without hesitation, Sali gently picked up the bird and cradled it in her hand. She knew she had to help the little creature, so she brought it back to her humble cottage and tended to its injuries with care and compassion. Days turned into weeks, and the bird slowly began to heal under Sali's watchful eye. It chriped happily as Sali fed it, sang to it, and kept it warm. The villagers marveled at Sali's dedication and love for the bird, and soon word spread far and wide about the kind-hearted girl who had saved a life. As the bird grew stronger, Sali knew it was time to set it free. With a heavy heart, she carried the bird to the edge of the forecast and gently released it into the sky. The bird soared high above the treetops, it wings outstretched in freedom and gratitude. From that day on, Sali became known as the village's guardian angel, a symbol of love and compassion for all living beings. Her selfess act had touched the hearts of many and inspired others to follow in her footsteps, spreading kindness and goodwill wherever they went.","How did others feel about Sali's selfess's act?","They were inspired","They got bored","They laughted","The bullied Sali","They were inspired"
"اللغة الإنجليزية","القطع الخارجية (Reading)","In a small village, there lived a young girl named Sali. Sali was known throughout the village for her kindness and generosity. She would often spend he days helping the elderly, playing with the children, and tending to the animals in need. One sunny morning, as Sali was walking through the village square , she stumbled upon a wounded bird lying on the ground. Without hesitation, Sali gently picked up the bird and cradled it in her hand. She knew she had to help the little creature, so she brought it back to her humble cottage and tended to its injuries with care and compassion. Days turned into weeks, and the bird slowly began to heal under Sali's watchful eye. It chriped happily as Sali fed it, sang to it, and kept it warm. The villagers marveled at Sali's dedication and love for the bird, and soon word spread far and wide about the kind-hearted girl who had saved a life. As the bird grew stronger, Sali knew it was time to set it free. With a heavy heart, she carried the bird to the edge of the forecast and gently released it into the sky. The bird soared high above the treetops, it wings outstretched in freedom and gratitude. From that day on, Sali became known as the village's guardian angel, a symbol of love and compassion for all living beings. Her selfess act had touched the hearts of many and inspired others to follow in her footsteps, spreading kindness and goodwill wherever they went.","The main idea of the passage is that:","The bird is storng","Salis selfless act","The good village","The blue sky","Salis selfless act"
"اللغة الإنجليزية","القطع الخارجية (Reading)","Wolverines have thick, black and brown fur and a face like a small bear. They are a little bigger than medium-sized dogs, such as beagles. But they’re not bears or dogs. Wolverines are the largest type of weasel! They live mostly alone, in the mountains. Wolverines are very strong. They use their big feet and long claws to travel far and hunt. They eat almost anything, from berries to birds. Their favorite meals are deer and smaller mammals. Wolverines stay high in the mountains during the summers. Up in the mountains, there is often snow, even in the summer. Wolverines store their food in the snow. In the winter, they come down from the mountain, but not too far. They still stay far away from people. In both the winter and summer, they can travel up to 15 miles per day to hunt for food. Wherever they are, wolverines are important to the environment. They eat almost anything, including animals they didn’t kill. They act like a clean-up crew. When a wolverine is around, nothing goes to waste. That makes wolverines important for the environment. Scientists who study wolverines are still learning about them. These animals are hard to study because there aren’t very many of them. Plus, wolverines do a great job of staying hidden. One thing scientists do know is that they want to keep wolverines safe. So they are protecting the land where wolverines live. Because wolverines can travel so far in a single day, they need lots of space. People who want to protect wolverines are working with ranchers and others who own land. They’re helping the ranchers and landowners leave some of their land wild. By keeping some places wild, people are helping wolverines stay hidden and safe.","What is a wolverine?","A type of bear","A type of dog","The largest type of weasel","A type of bird","The largest type of weasel"
"اللغة الإنجليزية","القطع الخارجية (Reading)","Wolverines have thick, black and brown fur and a face like a small bear. They are a little bigger than medium-sized dogs, such as beagles. But they’re not bears or dogs. Wolverines are the largest type of weasel! They live mostly alone, in the mountains. Wolverines are very strong. They use their big feet and long claws to travel far and hunt. They eat almost anything, from berries to birds. Their favorite meals are deer and smaller mammals. Wolverines stay high in the mountains during the summers. Up in the mountains, there is often snow, even in the summer. Wolverines store their food in the snow. In the winter, they come down from the mountain, but not too far. They still stay far away from people. In both the winter and summer, they can travel up to 15 miles per day to hunt for food. Wherever they are, wolverines are important to the environment. They eat almost anything, including animals they didn’t kill. They act like a clean-up crew. When a wolverine is around, nothing goes to waste. That makes wolverines important for the environment. Scientists who study wolverines are still learning about them. These animals are hard to study because there aren’t very many of them. Plus, wolverines do a great job of staying hidden. One thing scientists do know is that they want to keep wolverines safe. So they are protecting the land where wolverines live. Because wolverines can travel so far in a single day, they need lots of space. People who want to protect wolverines are working with ranchers and others who own land. They’re helping the ranchers and landowners leave some of their land wild. By keeping some places wild, people are helping wolverines stay hidden and safe.","Where do wolverines mostly live?","In tropical forests","In deserts","In the mountains","In grasslands","In the mountains"
